Pays,iso3,date,real_gdp_growth_qoq,gdp_level,final_consumption_expenditure,cpi_index,short_term_interest,trade_balance_usd_billion,reer_ic37_41_cpi
Ireland,IRL,1961Q2,1.282233011,NA,NA,4.999569,NA,-0.05940181,NA
Italy,ITA,1961Q2,2.115493108,NA,NA,3.923874,NA,-0.30253843,NA
Japan,JPN,1961Q2,2.131381825,NA,NA,18.95155,NA,-0.35504184,NA
Luxembourg,LUX,1961Q2,1.031951641,NA,NA,15.7247,NA,NA,NA
Mexico,MEX,1961Q2,0.954347314,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1961Q2,-1.393059879,NA,NA,15.80548,NA,-0.21207944,NA
Norway,NOR,1961Q2,1.621275009,NA,NA,8.457224,NA,NA,NA
OECDE,OECDE,1961Q2,0.831774,NA,NA,NA,NA,NA,NA
Portugal,PRT,1961Q2,1.532256747,NA,NA,1.104002,NA,-0.0990225,NA
South Korea,KOR,1961Q2,4.325769012,74920,273540,NA,NA,-0.08369475,NA
Spain,ESP,1961Q2,4.441130186,NA,NA,2.682674,NA,NA,NA
Sweden,SWE,1961Q2,0.363511886,NA,NA,9.10365,NA,-0.0437797604,NA
Switzerland,CHE,1961Q2,1.355571082,NA,NA,24.84423,NA,-0.15189813,NA
United Kingdom,GBR,1961Q2,0.398229079,6883,15746,5.852,NA,-0.4691289,NA
United States,USA,1961Q2,1.697854683,140168,276781.4,12.57294,NA,1.3358,NA
Australia,AUS,1961Q3,-0.721214223,4337,12303.9,NA,NA,0.17194797,NA
Austria,AUT,1961Q3,1.256451829,NA,NA,16.75283,NA,-0.06876029,NA
Belgium,BEL,1961Q3,1.275744177,NA,NA,14.55402,4.3333333333,-0.024566468,NA
Canada,CAN,1961Q3,2.433416055,11356,46131,12.40453,3.1366666667,0.087160204,NA
Denmark,DNK,1961Q3,1.819055683,NA,NA,NA,NA,-0.06966253,NA
Finland,FIN,1961Q3,0.514003459,NA,NA,7.588317,NA,-0.031937968,NA
France,FRA,1961Q3,1.59221853,NA,NA,10.15893,NA,NA,NA
Germany,DEU,1961Q3,2.052513111,NA,NA,23.61611,3.1033333333,0.4803984,NA
Greece,GRC,1961Q3,1.260397723,NA,NA,1.12357,NA,-0.11094570000000001,NA
Iceland,ISL,1961Q3,0.979253613,NA,NA,0.03778734,NA,-0.0033887989,NA
Ireland,IRL,1961Q3,0.967543067,NA,NA,5.007881,NA,-0.05802258,NA
Italy,ITA,1961Q3,2.330642273,NA,NA,3.94727,NA,-0.26190433,NA
Japan,JPN,1961Q3,1.918908589,NA,NA,19.52028,NA,-0.46252210000000005,NA
Luxembourg,LUX,1961Q3,0.610606289,NA,NA,15.79723,NA,NA,NA
Mexico,MEX,1961Q3,1.007541979,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1961Q3,0.117012238,NA,NA,15.6535,NA,-0.16698297,NA
Norway,NOR,1961Q3,1.174077826,NA,NA,8.600567,NA,NA,NA
OECDE,OECDE,1961Q3,1.311053,NA,NA,NA,NA,NA,NA
Portugal,PRT,1961Q3,1.596982283,NA,NA,1.138564,NA,-0.07274625,NA
South Korea,KOR,1961Q3,-1.801598785,75530,274960,NA,NA,-0.05969392,NA
Spain,ESP,1961Q3,2.042474721,NA,NA,2.689204,NA,NA,NA
Sweden,SWE,1961Q3,1.386708171,NA,NA,9.103091,NA,-0.030376094999999995,NA
Switzerland,CHE,1961Q3,1.242126259,NA,NA,25.0576,NA,-0.16788737,NA
United Kingdom,GBR,1961Q3,-0.48188937,7121,16004,5.897959,NA,-0.31590712,NA
United States,USA,1961Q3,1.920365796,140509,278018.8,12.65732,NA,1.1933,NA
Australia,AUS,1961Q4,1.148109775,4374,12803.1,NA,NA,0.13645813,NA
Austria,AUT,1961Q4,0.227988195,NA,NA,16.94037,NA,-0.06634366,NA
Belgium,BEL,1961Q4,1.381073857,NA,NA,14.55011,4.1666666667,-0.037278523,NA
Canada,CAN,1961Q4,1.360480145,10951,48649,12.40453,3.1066666667,-0.004006546,NA
Denmark,DNK,1961Q4,1.836175694,NA,NA,NA,NA,-0.09699534,NA
Finland,FIN,1961Q4,2.261307499,NA,NA,7.657302,NA,-0.006585001,NA
France,FRA,1961Q4,1.699021949,NA,NA,10.41498,NA,NA,NA
Germany,DEU,1961Q4,0.455604549,NA,NA,23.74659,3.8633333333,0.27383582,NA
Greece,GRC,1961Q4,-0.503746639,NA,NA,1.145177,NA,-0.12140356,NA
