Pays,iso3,date,indicator,value
United Kingdom,GBR,1996-Q1,reer_ic37_41_cpi,86.78025
United States,USA,1996-Q1,reer_ic37_41_cpi,85.69837
Australia,AUS,1996-Q2,reer_ic37_41_cpi,81.51017
Austria,AUT,1996-Q2,reer_ic37_41_cpi,107.070375
Belgium,BEL,1996-Q2,reer_ic37_41_cpi,103.67756
Canada,CAN,1996-Q2,reer_ic37_41_cpi,95.174075
Czechia,CZE,1996-Q2,reer_ic37_41_cpi,66.79632000000001
Denmark,DNK,1996-Q2,reer_ic37_41_cpi,102.26166
Estonia,EST,1996-Q2,reer_ic37_41_cpi,66.77623
Finland,FIN,1996-Q2,reer_ic37_41_cpi,104.67959
France,FRA,1996-Q2,reer_ic37_41_cpi,112.65871
Germany,DEU,1996-Q2,reer_ic37_41_cpi,116.961985
Hungary,HUN,1996-Q2,reer_ic37_41_cpi,74.544915
Ireland,IRL,1996-Q2,reer_ic37_41_cpi,100.19388000000001
Italy,ITA,1996-Q2,reer_ic37_41_cpi,99.869475
Japan,JPN,1996-Q2,reer_ic37_41_cpi,159.763
Latvia,LVA,1996-Q2,reer_ic37_41_cpi,67.970295
Lithuania,LTU,1996-Q2,reer_ic37_41_cpi,55.667065
Luxembourg,LUX,1996-Q2,reer_ic37_41_cpi,96.42592
Mexico,MEX,1996-Q2,reer_ic37_41_cpi,90.71992
Netherlands,NLD,1996-Q2,reer_ic37_41_cpi,101.647955
New Zealand,NZL,1996-Q2,reer_ic37_41_cpi,87.761065
Norway,NOR,1996-Q2,reer_ic37_41_cpi,109.69824
Poland,POL,1996-Q2,reer_ic37_41_cpi,81.60056
Portugal,PRT,1996-Q2,reer_ic37_41_cpi,99.02910499999999
Slovakia,SVK,1996-Q2,reer_ic37_41_cpi,50.652035
Slovenia,SVN,1996-Q2,reer_ic37_41_cpi,92.67337
South Korea,KOR,1996-Q2,reer_ic37_41_cpi,110.56554
Spain,ESP,1996-Q2,reer_ic37_41_cpi,97.41852499999999
Sweden,SWE,1996-Q2,reer_ic37_41_cpi,122.048145
Switzerland,CHE,1996-Q2,reer_ic37_41_cpi,90.56465
Turkey,TUR,1996-Q2,reer_ic37_41_cpi,69.42575
United Kingdom,GBR,1996-Q2,reer_ic37_41_cpi,88.24446499999999
United States,USA,1996-Q2,reer_ic37_41_cpi,86.23155
Australia,AUS,1996-Q3,reer_ic37_41_cpi,81.43589
Austria,AUT,1996-Q3,reer_ic37_41_cpi,107.245165
Belgium,BEL,1996-Q3,reer_ic37_41_cpi,103.72442000000001
Canada,CAN,1996-Q3,reer_ic37_41_cpi,94.44297
Czechia,CZE,1996-Q3,reer_ic37_41_cpi,69.49146
Denmark,DNK,1996-Q3,reer_ic37_41_cpi,102.83594
Estonia,EST,1996-Q3,reer_ic37_41_cpi,67.206265
Finland,FIN,1996-Q3,reer_ic37_41_cpi,107.71517
France,FRA,1996-Q3,reer_ic37_41_cpi,112.321
Germany,DEU,1996-Q3,reer_ic37_41_cpi,117.88914
Hungary,HUN,1996-Q3,reer_ic37_41_cpi,73.490605
Ireland,IRL,1996-Q3,reer_ic37_41_cpi,101.77295
Italy,ITA,1996-Q3,reer_ic37_41_cpi,101.21815000000001
Japan,JPN,1996-Q3,reer_ic37_41_cpi,156.084375
Latvia,LVA,1996-Q3,reer_ic37_41_cpi,68.55651499999999
Lithuania,LTU,1996-Q3,reer_ic37_41_cpi,55.86993
Luxembourg,LUX,1996-Q3,reer_ic37_41_cpi,96.76282
Mexico,MEX,1996-Q3,reer_ic37_41_cpi,93.41139
Netherlands,NLD,1996-Q3,reer_ic37_41_cpi,101.06842
New Zealand,NZL,1996-Q3,reer_ic37_41_cpi,89.52329
Norway,NOR,1996-Q3,reer_ic37_41_cpi,110.490015
Poland,POL,1996-Q3,reer_ic37_41_cpi,80.04021499999999
Portugal,PRT,1996-Q3,reer_ic37_41_cpi,100.05615499999999
Slovakia,SVK,1996-Q3,reer_ic37_41_cpi,50.450565
Slovenia,SVN,1996-Q3,reer_ic37_41_cpi,93.82976500000001
South Korea,KOR,1996-Q3,reer_ic37_41_cpi,106.68599
Spain,ESP,1996-Q3,reer_ic37_41_cpi,97.22696
Sweden,SWE,1996-Q3,reer_ic37_41_cpi,121.819125
Switzerland,CHE,1996-Q3,reer_ic37_41_cpi,91.133535
Turkey,TUR,1996-Q3,reer_ic37_41_cpi,68.246295
United Kingdom,GBR,1996-Q3,reer_ic37_41_cpi,89.25575
United States,USA,1996-Q3,reer_ic37_41_cpi,86.29563
