obs_dy_h,obs_dy_f,obs_dc_h,obs_dc_f,obs_pi_h,obs_pi_f,obs_r_h,obs_r_f,obs_de,obs_tb_h,obs_tb_f
0.580298,0.149955926,0.23072331626252748,1.031013284304818,0.38298744867571427,0.22004965444997357,0.5,1.3483333333333334,1.2689267946006444,1.2419561539128092,-0.9041445347077425
1.054475,0.859449801,0.8975568064986228,0.37735886751383196,0.5421449062020884,0.5014553085652215,0.625,1.3308333333333333,1.2840577123602765,1.0500555680045656,-0.7957060213911888
0.798454,0.300835667,0.7194072230834121,0.7747107975306949,0.4866283157061991,0.7512129388101232,0.6875,1.3275,1.308510739666288,0.8533668799163896,-0.6315482906692289
0.669891,0.611761958,0.6760856126807002,0.020048116023974168,0.6902526707878511,1.201788068038124,0.75,1.3291666666666666,1.3527632492077082,1.0531579645605826,-0.7814398164079511
0.471969,0.576025796,0.18740387713334317,0.8762167047557178,0.6501073754825795,0.2807908652100856,0.75,1.3558333333333334,1.374118455027195,1.101889500137378,-0.8107976296545928
0.615349,0.628236732,0.42772884522528043,-0.20043319794544617,1.5429329121267588,1.759777397629218,0.75,1.2558333333333334,1.4506455942845482,1.0695957386916684,-0.815852404748219
0.637339,-0.426764321,0.05792569722483185,0.29126737492821525,1.0649256246223173,0.6936538050214545,0.75,0.8075,1.4976297514998105,0.8068769263718326,-0.5945576548050615
-0.396909,0.595428262,0.24652096576657895,-1.0604580439158593,1.0520298905283716,2.228503237516918,0.75,0.6891666666666667,1.577528491951807,0.9413778618248073,-0.713221462309279
-0.480197,-0.525258051,0.09072594583877021,0.16743795209050455,0.3044099919539735,0.1892974614861407,0.8125,0.7641666666666665,1.5157076275272523,0.9193998107287316,-0.6920065086845371
-1.724406,-2.189026595,-1.1364288116891272,0.6212601372483095,-0.42146479314043894,-2.9493911717898342,0.5,0.7041666666666667,1.2975244556016352,0.7726928343721867,-0.593984916341297
-2.930805,-1.134874297,-1.9419940225451153,-0.9492106752823104,0.17549831940410682,0.21591000607094468,0.125,0.2708333333333333,1.2816579003439474,0.4345127479557335,-0.31522207473516634
-0.025936,-0.178650951,0.12336081946989078,-0.8820492026624377,0.37106762735340654,1.1526197032861205,0.0625,0.15416666666666667,1.349496793399493,0.48254102592814374,-0.354398455118246
0.394059,0.351192395,0.8094252336245636,0.9453850848526563,0.05164187576169865,0.335434347627403,0.0625,0.075,1.4214274093078167,0.7272139626541725,-0.5322268031002396
0.463891,1.080913651,-0.0025193237674171467,-0.3301465123624352,0.6611281817021114,0.972138799916602,0.0625,0.05583333333333333,1.471398962619455,0.6448140899366513,-0.48367665905881474
0.347791,0.484500951,0.16721298064964343,1.113906847656888,0.6618303074646528,-0.15690639896381145,0.0625,0.05166666666666667,1.3664402574351,0.5841571886153745,-0.4253646187088782
0.997806,0.967586118,0.4845753410234717,1.226713841870975,0.26760245692435136,-0.09309903306364924,0.0625,0.10583333333333333,1.2550168959940282,0.7086676614831855,-0.5193551904339653
0.48805,0.771084936,0.4522116346132937,0.31044817951843,0.48103942177670905,0.42312519296331563,0.0625,0.08416666666666667,1.2738291187545423,0.8776892761669259,-0.6383543602872741
0.601917,0.525110261,-0.12118862406048451,-0.251442568063777,1.0436744717883415,1.3097591460430695,0.0625,0.07,1.3411383735126712,0.7363762382829551,-0.5292727535495594
0.991328,-0.237204897,-0.46012456063377327,0.03408286592019555,1.0801922963018808,1.0253455459604859,0.0625,0.07083333333333333,1.351538451535174,0.7959931824842036,-0.5833860734666991
0.101465,0.676582293,0.3597033108657249,0.4587626161002135,0.2600579630728551,0.7703145501362689,0.125,0.055,1.4278527196742687,0.8983192877896428,-0.6592300638217858
0.08637,-0.022312736,-0.5674100541585245,-0.21043738030977785,0.5720472270724372,0.7167568579396244,0.1875,0.07166666666666667,1.4024446498925771,0.8491717824541152,-0.6139248194882196
-0.364529,1.123049057,-0.9410983136439363,-0.06746228776311743,0.8886807636632249,0.3966590366494805,0.0625,0.10583333333333333,1.3317289963731596,0.936955386137889,-0.688921829998246
-0.121376,0.83859082,-0.3155955459142838,0.6216423081242509,1.019571577234526,0.7462285327362825,0.0625,0.0825,1.2931641802358087,0.8696168317895384,-0.6109275089836298
-0.326626,0.446334746,-0.24388181860385966,0.6106665283820638,0.018491639532715626,-0.19660146253805574,0.0625,0.075,1.2622669027685705,0.9732444089693152,-0.6860807184041174
-0.116799,0.144027997,-0.2819389911683256,-0.623658096299739,0.8332973525361171,1.0383279027897727,0,0.06666666666666667,1.2325205607701926,1.136973503907677,-0.7948928759336581
-0.439727,0.115640554,-0.40127297985648025,0.7139934495757465,0.3994305094660488,0.13388993792295553,0,0.05833333333333334,1.2753713401082973,1.0738439105141389,-0.7677429989320227
-0.247907,0.986560664,-0.5434379238813283,0.29583036399331053,0.45288182901830865,0.49660154080215035,0,0.055,1.2975282837980235,0.9948252559987263,-0.6787045903955321
0.638234,0.267636335,0.44113675536009517,0.45530904921912524,-0.15227319272323575,0.08377610889272516,0,0.04916666666666667,1.2875840739965148,1.0520789098403343,-0.7281570701614888
0.37123,0.851393569,0.3023324178865721,0.23939806153765314,0.33864775799667574,0.4683744654190668,0,0.030833333333333334,1.3077334483166667,1.1013296417413272,-0.753115841239016
0.266327,0.871741753,0.004668748059803143,0.7797518943058577,0.1751355951644097,0.4344060181577304,0,0.03166666666666667,1.347491835925403,1.1711505356840224,-0.8233834947322533
0.487343,-0.345095985,0.007718378856474215,0.04621698761166311,0.07956587843454889,0.5199733754533125,0,0.030833333333333334,1.361930985137078,1.0569659459927958,-0.7008745325460825
0.293096,1.291842129,0.6540535144231558,0.8026866971852011,-0.1316391014545577,0.6416069912854739,-0.025,0.02833333333333333,1.3735741661896526,1.297657748308139,-0.8740912231338424
0.562905,1.215391409,0.41120563581531044,1.1470362273015238,0.1571665052430054,0.0557494773530604,-0.05,0.03166666666666667,1.3256010650137287,1.2450415633354956,-0.829742694712739
0.389105,0.505733136,0.8763406337343408,1.467983714978291,-0.29441849020832095,-0.4645443024619207,-0.05,0.03333333333333333,1.2481000779695097,1.2577055445072216,-0.870619867111798
0.832274,0.900484978,0.03139678411130183,0.3249357673048952,0.1497841856959083,-0.3029758451984367,-0.05,0.0375,1.1180389420747037,1.1057605481727146,-0.7203594564455319
0.521695,0.619405087,0.8358159631343811,0.5568971384483418,0.3779275813752724,0.840936601421696,-0.05,0.03833333333333333,1.1055256862588418,1.3454619898254554,-0.9013996726657162
0.448175,0.400245061,0.6809607750303567,0.9845474310501571,-0.12223894331408272,-0.10452231738905715,-0.05,0.06,1.1107259790592547,1.340685775910727,-0.8963303483290008
0.516361,0.184479126,0.7793916268394677,0.17627174375094226,-0.22431154128380068,0.2927600551820105,-0.075,0.09083333333333334,1.0999292302723827,1.2679058282349946,-0.8883075110067529
