Pays,iso3,date,indicator,value
Denmark,DNK,1959-Q2,trade_balance_usd_billion,-0.07542001
Finland,FIN,1959-Q2,trade_balance_usd_billion,0.012297013
Germany,DEU,1959-Q2,trade_balance_usd_billion,0.29005213
Greece,GRC,1959-Q2,trade_balance_usd_billion,-0.10144491
Iceland,ISL,1959-Q2,trade_balance_usd_billion,-0.0044433217
Ireland,IRL,1959-Q2,trade_balance_usd_billion,-0.06057328
Italy,ITA,1959-Q2,trade_balance_usd_billion,-0.15649451
Japan,JPN,1959-Q2,trade_balance_usd_billion,-0.050578275
Netherlands,NLD,1959-Q2,trade_balance_usd_billion,-0.077176002
New Zealand,NZL,1959-Q2,trade_balance_usd_billion,0.044443598
Portugal,PRT,1959-Q2,trade_balance_usd_billion,-0.05255606
South Korea,KOR,1959-Q2,trade_balance_usd_billion,-0.05396356
Sweden,SWE,1959-Q2,trade_balance_usd_billion,-0.042108613530000005
Switzerland,CHE,1959-Q2,trade_balance_usd_billion,-0.05997948
Turkey,TUR,1959-Q2,trade_balance_usd_billion,-0.0013776923
United Kingdom,GBR,1959-Q2,trade_balance_usd_billion,-0.31303773
United States,USA,1959-Q2,trade_balance_usd_billion,0.1327
Australia,AUS,1959-Q3,trade_balance_usd_billion,0.0796302
Austria,AUT,1959-Q3,trade_balance_usd_billion,-0.04366904
Belgium,BEL,1959-Q3,trade_balance_usd_billion,0.0036056200000000004
Canada,CAN,1959-Q3,trade_balance_usd_billion,-0.15122719
Denmark,DNK,1959-Q3,trade_balance_usd_billion,-0.030929885
Finland,FIN,1959-Q3,trade_balance_usd_billion,-0.0011410680000000007
Germany,DEU,1959-Q3,trade_balance_usd_billion,0.31326978
Greece,GRC,1959-Q3,trade_balance_usd_billion,-0.08842557
Iceland,ISL,1959-Q3,trade_balance_usd_billion,-0.009239629
Ireland,IRL,1959-Q3,trade_balance_usd_billion,-0.06436166
Italy,ITA,1959-Q3,trade_balance_usd_billion,-0.09862399
Japan,JPN,1959-Q3,trade_balance_usd_billion,-0.039187893
Netherlands,NLD,1959-Q3,trade_balance_usd_billion,-0.10156115
New Zealand,NZL,1959-Q3,trade_balance_usd_billion,0.037052505
Portugal,PRT,1959-Q3,trade_balance_usd_billion,-0.04280251
South Korea,KOR,1959-Q3,trade_balance_usd_billion,-0.07778547
Sweden,SWE,1959-Q3,trade_balance_usd_billion,-0.06114616
Switzerland,CHE,1959-Q3,trade_balance_usd_billion,-0.04560755
Turkey,TUR,1959-Q3,trade_balance_usd_billion,-0.009456462
United Kingdom,GBR,1959-Q3,trade_balance_usd_billion,-0.37239686
United States,USA,1959-Q3,trade_balance_usd_billion,0.4304
Australia,AUS,1959-Q4,trade_balance_usd_billion,0.050221746
Austria,AUT,1959-Q4,trade_balance_usd_billion,-0.05628458
Belgium,BEL,1959-Q4,trade_balance_usd_billion,-0.03709694
Canada,CAN,1959-Q4,trade_balance_usd_billion,-0.007705125000000003
Denmark,DNK,1959-Q4,trade_balance_usd_billion,-0.061908359999999996
Finland,FIN,1959-Q4,trade_balance_usd_billion,-0.017995051999999997
Germany,DEU,1959-Q4,trade_balance_usd_billion,0.36080472
Greece,GRC,1959-Q4,trade_balance_usd_billion,-0.07870744
Iceland,ISL,1959-Q4,trade_balance_usd_billion,-0.008968853
Ireland,IRL,1959-Q4,trade_balance_usd_billion,-0.048190039999999996
Italy,ITA,1959-Q4,trade_balance_usd_billion,-0.12044979
Japan,JPN,1959-Q4,trade_balance_usd_billion,-0.06312662000000001
Netherlands,NLD,1959-Q4,trade_balance_usd_billion,-0.061444059999999995
New Zealand,NZL,1959-Q4,trade_balance_usd_billion,0.04837094
Portugal,PRT,1959-Q4,trade_balance_usd_billion,-0.04696675
South Korea,KOR,1959-Q4,trade_balance_usd_billion,-0.08204087
Sweden,SWE,1959-Q4,trade_balance_usd_billion,-0.093805267
Switzerland,CHE,1959-Q4,trade_balance_usd_billion,-0.09560107
Turkey,TUR,1959-Q4,trade_balance_usd_billion,-0.028526413
United Kingdom,GBR,1959-Q4,trade_balance_usd_billion,-0.4633155
United States,USA,1959-Q4,trade_balance_usd_billion,0.3695
Australia,AUS,1960-Q1,trade_balance_usd_billion,-0.0021458399999999996
Austria,AUT,1960-Q1,trade_balance_usd_billion,-0.06002381
Belgium,BEL,1960-Q1,trade_balance_usd_billion,-0.042222953
Canada,CAN,1960-Q1,trade_balance_usd_billion,0.0157589746
Denmark,DNK,1960-Q1,trade_balance_usd_billion,-0.09376763
Finland,FIN,1960-Q1,trade_balance_usd_billion,-0.02845667
Germany,DEU,1960-Q1,trade_balance_usd_billion,0.34701576
Greece,GRC,1960-Q1,trade_balance_usd_billion,-0.12038192
Iceland,ISL,1960-Q1,trade_balance_usd_billion,-0.016269323999999998
Ireland,IRL,1960-Q1,trade_balance_usd_billion,-0.05086064
Italy,ITA,1960-Q1,trade_balance_usd_billion,-0.22915791000000002
Japan,JPN,1960-Q1,trade_balance_usd_billion,-0.15895261
Netherlands,NLD,1960-Q1,trade_balance_usd_billion,-0.12614281
New Zealand,NZL,1960-Q1,trade_balance_usd_billion,0.04873895
Portugal,PRT,1960-Q1,trade_balance_usd_billion,-0.04142713
South Korea,KOR,1960-Q1,trade_balance_usd_billion,-0.07706078
Sweden,SWE,1960-Q1,trade_balance_usd_billion,-0.08020804000000001
Switzerland,CHE,1960-Q1,trade_balance_usd_billion,-0.055991673
Turkey,TUR,1960-Q1,trade_balance_usd_billion,-0.012107538
United Kingdom,GBR,1960-Q1,trade_balance_usd_billion,-0.48111309999999996
United States,USA,1960-Q1,trade_balance_usd_billion,0.7394000000000001
Australia,AUS,1960-Q2,trade_balance_usd_billion,-0.052021318000000004
Austria,AUT,1960-Q2,trade_balance_usd_billion,-0.07578187
Belgium,BEL,1960-Q2,trade_balance_usd_billion,-0.0048338221
Canada,CAN,1960-Q2,trade_balance_usd_billion,-0.085021377
Denmark,DNK,1960-Q2,trade_balance_usd_billion,-0.0685736
Finland,FIN,1960-Q2,trade_balance_usd_billion,-0.03241794
Germany,DEU,1960-Q2,trade_balance_usd_billion,0.18759188
Greece,GRC,1960-Q2,trade_balance_usd_billion,-0.12568771
Iceland,ISL,1960-Q2,trade_balance_usd_billion,-0.0023215655
Ireland,IRL,1960-Q2,trade_balance_usd_billion,-0.05719568
Italy,ITA,1960-Q2,trade_balance_usd_billion,-0.22625941
Japan,JPN,1960-Q2,trade_balance_usd_billion,-0.06864581
Netherlands,NLD,1960-Q2,trade_balance_usd_billion,-0.10686029
New Zealand,NZL,1960-Q2,trade_balance_usd_billion,0.0156764406
Portugal,PRT,1960-Q2,trade_balance_usd_billion,-0.05273648
South Korea,KOR,1960-Q2,trade_balance_usd_billion,-0.08086858999999999
Sweden,SWE,1960-Q2,trade_balance_usd_billion,-0.0816445351
Switzerland,CHE,1960-Q2,trade_balance_usd_billion,-0.09251942
Turkey,TUR,1960-Q2,trade_balance_usd_billion,-0.008543983
United Kingdom,GBR,1960-Q2,trade_balance_usd_billion,-0.6118384
United States,USA,1960-Q2,trade_balance_usd_billion,1.0084
Australia,AUS,1960-Q3,trade_balance_usd_billion,-0.09294905
Austria,AUT,1960-Q3,trade_balance_usd_billion,-0.07509431
Belgium,BEL,1960-Q3,trade_balance_usd_billion,-0.07832046000000001
Canada,CAN,1960-Q3,trade_balance_usd_billion,0.015057051000000002
Denmark,DNK,1960-Q3,trade_balance_usd_billion,-0.056004
Finland,FIN,1960-Q3,trade_balance_usd_billion,-0.015421403
Germany,DEU,1960-Q3,trade_balance_usd_billion,0.30952477
Greece,GRC,1960-Q3,trade_balance_usd_billion,-0.13625775
Iceland,ISL,1960-Q3,trade_balance_usd_billion,-0.0025995766
